,Name,City,Country,IATA,ICAO
1015,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa),FBM,FZQA
1016,Kolwezi Airport,Kolwezi,Congo (Kinshasa),KWZ,FZQM
1017,Kalemie Airport,Kalemie,Congo (Kinshasa),FMI,FZRF
1018,Kamina Base Airport,Kamina Base,Congo (Kinshasa),KMN,FZSA
1019,Kananga Airport,Kananga,Congo (Kinshasa),KGA,FZUA
1020,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),MJM,FZWA
1021,Modibo Keita International Airport,Bamako,Mali,BKO,GABS
1022,Gao Airport,Gao,Mali,GAQ,GAGO
1023,Kayes Dag Dag Airport,Kayes,Mali,KYS,GAKY
1024,Mopti Airport,Mopti,Mali,MZI,GAMB
1025,Timbuktu Airport,Tombouctou,Mali,TOM,GATB
1026,Tessalit Airport,Tessalit,Mali,\N,GATS
1027,Banjul International Airport,Banjul,Gambia,BJL,GBYD
1036,Lungi International Airport,Freetown,Sierra Leone,FNA,GFLL
1037,Cufar Airport,Cufar,Guinea-Bissau,\N,GGCF
1038,Spriggs Payne Airport,Monrovia,Liberia,MLW,GLMR
1039,Roberts International Airport,Monrovia,Liberia,ROB,GLRB
1040,Al Massira Airport,Agadir,Morocco,AGA,GMAD
1041,Tan Tan Airport,Tan Tan,Morocco,TTA,GMAT
1042,Saïss Airport,Fes,Morocco,FEZ,GMFF
1043,Ifrane Airport,Ifrane,Morocco,\N,GMFI
1044,Moulay Ali Cherif Airport,Er-rachidia,Morocco,ERH,GMFK
1045,Bassatine Airport,Meknes,Morocco,MEK,GMFM
1046,Angads Airport,Oujda,Morocco,OUD,GMFO
1047,Ben Slimane Airport,Ben Slimane,Morocco,GMD,GMMB
1048,Rabat-Salé Airport,Rabat,Morocco,RBA,GMME
1049,Mohammed V International Airport,Casablanca,Morocco,CMN,GMMN
1050,Menara Airport,Marrakech,Morocco,RAK,GMMX
1051,Kenitra Airport,Kentira,Morocco,NNA,GMMY
1052,Ouarzazate Airport,Ouarzazate,Morocco,OZZ,GMMZ
1053,Cherif Al Idrissi Airport,Al Hociema,Morocco,AHU,GMTA
1054,Saniat R'mel Airport,Tetouan,Morocco,TTU,GMTN
1055,Ibn Batouta Airport,Tanger,Morocco,TNG,GMTT
1056,Ziguinchor Airport,Ziguinchor,Senegal,ZIG,GOGG
1057,Cap Skirring Airport,Cap Skiring,Senegal,CSK,GOGS
1058,Kaolack Airport,Kaolack,Senegal,KLC,GOOK
1059,Léopold Sédar Senghor International Airport,Dakar,Senegal,DKR,GOOY
1060,Saint Louis Airport,St. Louis,Senegal,XLS,GOSS
1061,Bakel Airport,Bakel,Senegal,BXE,GOTB
1062,Kédougou Airport,Kedougou,Senegal,KGG,GOTK
1063,Tambacounda Airport,Tambacounda,Senegal,TUD,GOTT
1064,Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania,AEO,GQNA
1065,Tidjikja Airport,Tidjikja,Mauritania,TIY,GQND
1066,Kiffa Airport,Kiffa,Mauritania,KFA,GQNF
1067,Néma Airport,Nema,Mauritania,EMN,GQNI
1068,Kaédi Airport,Kaedi,Mauritania,KED,GQNK
1069,Nouakchott–Oumtounsy International Airport,Nouakschott,Mauritania,NKC,GQNO
1070,Sélibaby Airport,Selibabi,Mauritania,SEY,GQNS
1071,Atar International Airport,Atar,Mauritania,ATR,GQPA
1072,Nouadhibou International Airport,Nouadhibou,Mauritania,NDB,GQPP
1073,Bir Moghrein Airport,Bir Moghrein,Mauritania,\N,GQPT
1074,Fria Airport,Fira,Guinea,FIG,GUFA
1075,Faranah Airport,Faranah,Guinea,FAA,GUFH
1076,Tata Airport,Labe,Guinea,LEK,GULB
1077,Amílcar Cabral International Airport,Amilcar Cabral,Cape Verde,SID,GVAC
1078,Rabil Airport,Boa Vista,Cape Verde,BVC,GVBA
1079,Maio Airport,Maio,Cape Verde,MMO,GVMA
1080,Preguiça Airport,Sao Nocolau Island,Cape Verde,SNE,GVSN
1081,São Pedro Airport,Sao Vicente Island,Cape Verde,VXE,GVSV
1082,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,ADD,HAAB
1083,Lideta Army Airport,Addis Ababa,Ethiopia,\N,HAAL
1084,Arba Minch Airport,Arba Minch,Ethiopia,AMH,HAAM
1085,Axum Airport,Axum,Ethiopia,AXU,HAAX
1086,Bahir Dar Airport,Bahar Dar,Ethiopia,BJR,HABD
1087,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,DIR,HADR
1088,Gambella Airport,Gambella,Ethiopia,GMB,HAGM
1089,Gonder Airport,Gondar,Ethiopia,GDQ,HAGN
1090,Jimma Airport,Jimma,Ethiopia,JIM,HAJM
1091,Lalibella Airport,Lalibella,Ethiopia,LLI,HALL
1092,Mekele Airport,Makale,Ethiopia,MQX,HAMK
1093,Asosa Airport,Asosa,Ethiopia,ASO,HASO
1094,Bujumbura International Airport,Bujumbura,Burundi,BJM,HBBA
1095,Egal International Airport,Hargeisa,Somalia,HGA,HCMH
1096,Berbera Airport,Berbera,Somalia,BBO,HCMI
1097,Kisimayu Airport,Kismayu,Somalia,KMU,HCMK
1098,El Nouzha Airport,Alexandria,Egypt,ALY,HEAX
1099,Abu Simbel Airport,Abu Simbel,Egypt,ABS,HEBL
1100,Cairo International Airport,Cairo,Egypt,CAI,HECA
1101,Cairo West Airport,Cairo,Egypt,CWE,HECW
1102,Hurghada International Airport,Hurghada,Egypt,HRG,HEGN
1103,El Gora Airport,El Gorah,Egypt,EGH,HEGR
1104,Luxor International Airport,Luxor,Egypt,LXR,HELX
1105,Mersa Matruh Airport,Mersa-matruh,Egypt,MUH,HEMM
1106,Port Said Airport,Port Said,Egypt,PSD,HEPS
1107,St Catherine International Airport,St. Catherine,Egypt,SKV,HESC
1108,Aswan International Airport,Aswan,Egypt,ASW,HESN
1109,El Tor Airport,El-tor,Egypt,ELT,HETR
1110,Eldoret International Airport,Eldoret,Kenya,EDL,HKEL
1111,Kakamega Airport,Kakamega,Kenya,GGM,HKKG
1112,Kisumu Airport,Kisumu,Kenya,KIS,HKKI
1113,Kitale Airport,Kitale,Kenya,KTL,HKKT
1114,Lodwar Airport,Lodwar,Kenya,LOK,HKLO
1115,Manda Airstrip,Lamu,Kenya,LAU,HKLU
1116,Mombasa Moi International Airport,Mombasa,Kenya,MBA,HKMO
1117,Naivasha Airport,Naivasha,Kenya,\N,HKNV
