,Name,City,Country,IATA,ICAO
2269,Seoul Air Base (K-16),Seoul East,South Korea,SSN,RKSM
2270,Osan Air Base,Osan,South Korea,OSN,RKSO
2271,Gimpo International Airport,Seoul,South Korea,GMP,RKSS
2272,Suwon Airport,Suwon,South Korea,SWU,RKSW
2273,Pohang Airport (G-815/K-3),Pohang,South Korea,KPO,RKTH
2274,Daegu Airport,Taegu,South Korea,TAE,RKTN
2275,Yecheon Airbase,Yechon,South Korea,YEC,RKTY
2276,Naha Airport,Okinawa,Japan,OKA,ROAH
2277,Ie Shima Auxiliary Air Base,Iejima,Japan,\N,RODE
2278,Kadena Air Base,Kadena,Japan,DNA,RODN
2279,New Ishigaki Airport,Ishigaki,Japan,ISG,ROIG
2280,Kumejima Airport,Kumejima,Japan,UEO,ROKJ
2281,Minami-Daito Airport,Minami Daito,Japan,MMD,ROMD
2282,Miyako Airport,Miyako,Japan,MMY,ROMY
2283,Kitadaito Airport,Kitadaito,Japan,KTD,RORK
2284,Shimojishima Airport,Shimojishima,Japan,SHI,RORS
2285,Tarama Airport,Tarama,Japan,TRA,RORT
2286,Yoron Airport,Yoron,Japan,RNJ,RORY
2287,Futenma Marine Corps Air Station,Futema,Japan,\N,ROTM
2288,Yonaguni Airport,Yonaguni Jima,Japan,OGN,ROYN
2289,Ninoy Aquino International Airport,Manila,Philippines,MNL,RPLL
2290,Awang Airport,Cotabato,Philippines,CBO,RPMC
2291,Cagayan De Oro Airport,Ladag,Philippines,\N,RPML
2292,Pagadian Airport,Pagadian,Philippines,PAG,RPMP
2293,General Santos International Airport,Romblon,Philippines,GES,RPMR
2294,Zamboanga International Airport,Zamboanga,Philippines,ZAM,RPMZ
2295,Loakan Airport,Baguio,Philippines,BAG,RPUB
2296,Daet Airport,Daet,Philippines,DTE,RPUD
2297,Basa Air Base,Floridablanca,Philippines,\N,RPUF
2298,Lingayen Airport,Lingayen,Philippines,\N,RPUG
2299,San Jose Airport,San Jose,Philippines,SJI,RPUH
2300,Fernando Air Base,Lipa,Philippines,\N,RPUL
2301,Mamburao Airport,Mamburao,Philippines,MBO,RPUM
2302,Vigan Airport,Vigan,Philippines,\N,RPUQ
2303,Dr.Juan C. Angara Airport,Baler,Philippines,BQA,RPUR
2304,Bagabag Airport,Bagabag,Philippines,\N,RPUZ
2305,Daniel Z. Romualdez Airport,Tacloban,Philippines,TAC,RPVA
2306,Bacolod-Silay Airport,Bacolod,Philippines,BCD,RPVB
2307,Sibulan Airport,Dumaguete,Philippines,DGT,RPVD
2308,Godofredo P. Ramos Airport,Caticlan,Philippines,MPH,RPVE
2309,Guiuan Airport,Guiuan,Philippines,\N,RPVG
2310,Iloilo International Airport,Iloilo,Philippines,ILO,RPVI
2311,Kalibo International Airport,Kalibo,Philippines,KLO,RPVK
2312,Puerto Princesa Airport,Puerto Princesa,Philippines,PPS,RPVP
2313,Evelio Javier Airport,San Jose,Philippines,EUQ,RPVS
2369,Marambio Base,Marambio Base,Antarctica,\N,SAWB
2528,Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM,SCRM
2761,Almaty Airport,Alma-ata,Kazakhstan,ALA,UAAA
2762,Balkhash Airport,Balkhash,Kazakhstan,BXH,UAAH
2763,Astana International Airport,Tselinograd,Kazakhstan,TSE,UACC
2764,Taraz Airport,Dzhambul,Kazakhstan,DMB,UADD
2765,Manas International Airport,Bishkek,Kyrgyzstan,FRU,UAFM
2766,Osh Airport,Osh,Kyrgyzstan,OSS,UAFO
